Date,Song,Artist,Failed Reason
8/25/1958,Little Brass Band,David Seville,No suitable video
8/25/1958,The Green Mosquito,The Tune Rockers,No suitable video
8/18/1958,Put A Ring On My Finger,Les Paul And Mary Ford,No suitable video
9/22/1958,Real Wild Child,Ivan,No suitable video
8/4/1958,Angel Baby,Dean Martin,No suitable video
9/15/1958,Break-Up,Jerry Lee Lewis And His Pumping Piano,No suitable video
8/4/1958,I Wonder Why,Dion & The Belmonts,No suitable video
8/25/1958,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,No suitable video
9/8/1958,I'll Make It All Up To You,Jerry Lee Lewis And His Pumping Piano,No suitable video
8/4/1958,Splish Splash,Bobby Darin,No suitable video
10/6/1958,Queen Of The Hop,Bobby Darin,No suitable video
8/4/1958,Return To Me,Dean Martin,No suitable video
8/11/1958,Looking Back,Nat King Cole,No suitable video
9/1/1958,Please Don't Do It,Dale Wright And The Wright Guys With the Dons,No suitable video
8/4/1958,High School Confidential,Jerry Lee Lewis And His Pumping Piano,No suitable video
11/3/1958,Dreamy Eyes,Johnny Tillotson,No suitable video
1/5/1959,Tall Paul,Annette With The Afterbeats,No suitable video
11/24/1958,Intermission Riff,Bernie Lowe Orchestra,No suitable video
1/12/1959,Good Rockin' Tonight,Pat Boone,No suitable video
10/13/1958,Non Dimenticar (Don't Forget),Nat King Cole,No suitable video
12/1/1958,The Chipmunk Song,The Chipmunks With David Seville,No suitable video
12/22/1958,The Reason,The 5 Chanels,No suitable video
1/19/1959,I'll Sail My Ship Alone,Jerry Lee Lewis And His Pumping Piano,No suitable video
4/6/1959,Only You,Franck Pourcel's French Fiddles,No suitable video
2/9/1959,Nola,The Morgan Brothers,No suitable video
3/23/1959,Come Softly To Me,Ronnie Height,No suitable video
3/23/1959,Tell Him No,Dean & Marc,No suitable video
1/12/1959,The Children's Marching Song (Nick Nack Taddy Whack),Cyril Stapleton And His Orchestra,No suitable video
2/9/1959,(Night Time Is) The Right Time,Ray Charles with the Raylettes,No suitable video
4/27/1959,Gidget,Jimmy Darren,No suitable video
3/30/1959,I Miss You So,Paul Anka,No suitable video
7/6/1959,What Is Love?,The Playmates,No suitable video
5/11/1959,Love Me In The Daytime,Doris Day,No suitable video
4/20/1959,Dream Lover,Bobby Darin,No suitable video
7/27/1959,Who Shot Sam,George Jones,No suitable video
7/6/1959,What'd I Say (Part I & II),Ray Charles and his Orchestra,No suitable video
8/10/1959,Furry Murray,The Tradewinds,No suitable video
8/3/1959,Angel Face,Jimmy Darren,No suitable video
8/17/1959,A Girl's Work Is Never Done,The Chordettes,No suitable video
8/3/1959,"I Loves You, Porgy",Nina Simone,No suitable video
5/4/1959,White Lightning,George Jones,No suitable video
6/15/1959,High Hopes,"Frank Sinatra ""and a bunch of kids""",No suitable video
8/24/1959,Mack The Knife,Bobby Darin,No suitable video
9/7/1959,Battle Hymn Of The Republic,The Mormon Tabernacle Choir,No suitable video
